iter	RMSE
384	993.2597933
385	992.8397927
386	992.6383788
387	992.493473
388	992.2932395
389	991.999832
390	991.7799271
391	991.5375092
392	991.3703091
393	991.1670816
394	990.9666877
395	990.7032093
396	990.5058781
397	990.330726
398	990.0696247
399	989.7939798
400	989.6803029
401	989.5726046
402	989.3997756
403	989.2473493
404	989.0174246
405	988.8131558
406	988.6275734
407	988.326344
408	988.0245039
409	987.8200611
410	987.6543023
411	987.398109
412	987.1170412
413	987.0223334
414	986.9542338
415	986.7896373
416	986.7144228
417	986.5212451
418	986.3356476
419	986.1496607
420	985.9316148
421	985.6963985
422	985.5259579
423	985.2634341
424	985.0015528
425	984.5129669
426	984.3989408
427	984.2436922
428	984.1052903
429	983.9206229
430	983.6497344
431	983.4807076
432	983.2888163
433	983.0984179
434	982.8135613
435	982.6366942
436	982.4362327
437	982.289061
438	982.1011364
439	981.7861234
440	981.4691133
441	981.3674576
442	981.130232
443	980.8811119
444	980.5799525
445	980.3497252
446	980.2362132
447	980.0646249
448	979.9869957
449	979.768676
450	979.6263834
451	979.3368774
452	979.1890875
453	978.9565879
454	978.8378542
455	978.6617673
456	978.3855461
457	978.2619247
458	978.0552833
459	977.8922032
460	977.7923403
461	977.6791855
462	977.4765774
463	977.2663949
464	977.0197103
465	976.918307
466	976.6887215
467	976.4732227
468	976.2831992
469	976.0278269
470	975.7667576
471	975.6702088
472	975.5654049
473	975.322446
474	975.1981819
475	974.9612976
476	974.6759065
477	974.496665
478	974.4056628
479	974.1820801
480	973.992911
481	973.7986319
482	973.5632776
483	973.3239671
484	972.9976529
485	972.7531509
486	972.6738599
487	972.4997255
488	972.26762
489	972.0709414
490	971.8671982
491	971.7508299
492	971.5114291
493	971.3559958
494	971.1687314
495	970.9870624
496	970.8778477
497	970.7179322
498	970.5419009
499	970.311285
500	970.0873487
501	969.9728065
502	969.7610084
503	969.5307575
504	969.284246
505	969.079259
506	968.8675968
507	968.598851
508	968.4549612
509	968.1493655
510	967.9330341
511	967.7686418
512	967.606589
513	967.3520683
514	967.1841173
515	966.936026
516	966.8672203
517	966.6481864
518	966.3537763
519	966.1941479
520	966.1053062
521	965.8923848
522	965.672296
523	965.5162633
524	965.1381971
525	964.8477505
526	964.6317935
527	964.4858463
528	964.2229273
529	964.1010999
530	963.942104
531	963.8616025
532	963.6239238
533	963.4680953
534	963.2618842
535	963.1135603
536	962.9125552
537	962.5984316
538	962.4743652
539	962.2052347
540	962.0563937
541	961.9517686
542	961.7948686
543	961.6028887
544	961.2891674
545	961.0904852
546	960.8561939
547	960.7169766
548	960.6099122
549	960.4872633
550	960.3755934
551	960.1590766
552	960.0496146
553	959.8294684
554	959.6621119
555	959.3915211
556	959.1724587
557	958.8523202
558	958.726019
559	958.5910859
560	958.4442489
561	958.2020173
562	958.0208002
563	957.9546012
564	957.816068
565	957.6367682
566	957.354305
567	957.2062415
568	957.0438775
569	956.8714765
570	956.7108668
571	956.5181457
572	956.3605229
573	956.1562058
574	955.9738235
575	955.8147761
576	955.6949043
577	955.5875691
578	955.377748
579	955.3005524
580	955.0297093
581	954.8365826
582	954.7104287
583	954.4860626
584	954.3549393
585	954.1452512
586	954.0483284
587	953.7871112
588	953.5964796
589	953.4420752
590	953.265866
591	953.1115942
592	953.0030519
593	952.900289
594	952.7662417
595	952.6646047
596	952.5036031
597	952.3570968
598	952.2327231
599	952.1391111
600	952.056168
601	951.891561
602	951.7048168
603	951.4652018
604	951.3890033
605	951.2102414
606	951.1178962
607	950.9591939
608	950.6283512
609	950.4178128
610	950.0851049
611	949.9776583
612	949.734303
613	949.613362
614	949.4807031
615	949.3812904
616	949.2878006
617	949.1376597
618	949.0035341
619	948.7868069
620	948.5603944
621	948.3965003
622	948.0848736
623	947.903703
624	947.7899732
625	947.6388556
626	947.3808835
627	947.2361525
628	947.0451703
629	946.8083363
630	946.6522802
631	946.2785975
632	946.1508358
633	945.8658713
634	945.7796541
635	945.6035635
636	945.4750427
637	945.2455567
638	945.1866399
639	945.101103
640	944.8741612
641	944.6799199
642	944.5770442
643	944.3964447
644	944.2442935
645	944.1070803
646	943.9420459
647	943.7167717
648	943.5027434
649	943.3356
650	943.1139047
651	942.9006725
652	942.7299598
653	942.5314045
654	942.3900103
655	942.0882278
656	941.8198336
657	941.5750354
658	941.3699652
659	941.2967678
660	941.1602853
661	940.9632008
662	940.7759331
663	940.5183775
664	940.3222909
665	940.2034067
666	940.0266338
667	939.8410821
668	939.5884042
669	939.3621063
670	939.2430146
671	939.0731199
672	938.8772167
673	938.7076321
674	938.648786
675	938.4859516
676	938.4076884
677	938.172842
678	938.0438103
679	937.9224133
680	937.7193094
681	937.5522584
682	937.4448592
683	937.2952099
684	937.2165139
685	937.0878154
686	936.8343486
687	936.6960799
688	936.4986487
689	936.3985728
690	936.3397412
691	936.1872408
692	935.9859712
693	935.868348
694	935.8002049
695	935.6872219
696	935.5392691
697	935.4335388
698	935.3080965
699	935.1257538
700	934.9809901
701	934.9022354
702	934.811262
703	934.5894153
704	934.4309467
705	934.324069
706	934.2111166
707	934.0470054
708	933.918182
709	933.7721182
710	933.6457014
711	933.5313587
712	933.3118773
713	933.1711773
714	932.9747058
715	932.7406775
716	932.5409962
717	932.4069122
718	932.1612477
719	932.0359565
720	931.8686791
721	931.7474705
722	931.5353456
723	931.3642909
724	931.2274387
725	931.1168548
726	930.9906099
727	930.9294725
728	930.8880665
729	930.5884599
730	930.5068383
731	930.4000534
732	930.1535713
733	930.0541176
734	929.9256779
735	929.7252758
736	929.6635875
737	929.5673956
738	929.408319
739	929.2279097
740	929.1125096
741	928.9630364
742	928.8624932
743	928.7683396
744	928.5867052
745	928.4827777
746	928.1920577
747	927.968032
748	927.8876337
749	927.7322695
750	927.5866265
751	927.4884959
752	927.3925697
753	927.1217859
754	926.9742201
755	926.7988425
756	926.6395243
757	926.5144087
758	926.335436
759	926.1067788
760	925.9530919
761	925.8211791
762	925.6361905
763	925.461222
764	925.3467845
765	925.2572332
766	925.1699826
767	924.9572151
768	924.842283
769	924.5054339
770	924.3838451
771	924.1919505
772	924.0645218
773	923.9003637
774	923.6737208
775	923.5205051
776	923.4304189
777	923.3580957
778	923.2107973
779	923.0644579
780	922.9381119
781	922.8877315
782	922.7271571
783	922.6287837
784	922.5763501
785	922.3213787
786	922.2484383
787	922.1559734
788	922.0141999
789	921.9548328
790	921.753073
791	921.5678946
792	921.3911039
793	921.2236519
794	921.1287859
795	920.9503007
796	920.7646148
797	920.5698808
798	920.3874044
799	920.0832753
800	919.8419538
801	919.6867827
802	919.4813378
803	919.2970029
804	919.1304597
805	918.9566759
806	918.8388232
807	918.7086293
808	918.6174484
809	918.4791381
810	918.3908545
811	918.2332877
812	918.0376091
813	917.8898761
814	917.8035148
815	917.7308025
816	917.5504459
817	917.3931142
818	917.2747929
819	916.9489381
820	916.8692173
821	916.7657094
822	916.6343841
823	916.5374699
824	916.4076279
825	916.199253
826	915.978276
827	915.796331
828	915.6797415
829	915.5793094
830	915.47491
831	915.3379544
832	915.2380771
833	915.0058211
834	914.9399525
835	914.7373927
836	914.6056347
837	914.4889815
838	914.3336414
839	914.1207561
840	914.0537695
841	913.9321687
842	913.7395384
843	913.5855867
844	913.4438196
845	913.2508109
846	913.0749683
847	912.9046646
848	912.8460223
849	912.7813528
850	912.5477776
851	912.4208015
852	912.1539469
853	911.9809329
854	911.7646874
855	911.5065253
856	911.3847035
857	911.2796913
858	911.0512504
859	910.8400675
860	910.6097098
861	910.4839585
862	910.3339593
863	910.1931231
864	910.090646
865	909.9597843
866	909.8541109
867	909.6800574
868	909.5933087
869	909.480049
870	909.2600813
871	909.1163959
872	908.93074
873	908.7633302
874	908.6288538
875	908.5743857
876	908.3244739
877	908.244528
878	908.1181142
879	908.0419613
880	907.9501449
881	907.8475081
882	907.5466096
883	907.4206961
884	907.3125243
885	907.2159871
886	907.0937022
887	906.9498064
888	906.8883733
889	906.6420307
890	906.4620534
891	906.3416778
892	906.2286522
893	906.15545
894	905.9434635
895	905.8524559
896	905.7133336
897	905.6532284
898	905.4347145
899	905.293618
900	905.2084455
901	905.0509836
902	904.9361882
903	904.8560125
904	904.5749467
905	904.4714049
906	904.3721753
907	904.2477114
908	904.077469
909	903.8961456
910	903.7179791
911	903.5876899
912	903.5171692
913	903.3718333
914	903.1856273
915	903.0305829
916	902.9257633
917	902.8637298
918	902.7820191
919	902.6876229
920	902.5652498
921	902.4000816
922	902.2909891
923	902.2246181
924	902.0019088
925	901.9254506
926	901.7900063
927	901.5914372
928	901.4515206
929	901.2802793
930	901.1387222
931	901.036333
932	900.8897494
933	900.7545126
934	900.6472294
935	900.5566419
936	900.3486058
937	900.1329466
938	900.0012239
939	899.856421
940	899.5774664
941	899.4179392
942	899.2897067
943	899.1914278
944	899.1059253
945	899.0395332
946	898.8429778
947	898.730228
948	898.5496229
949	898.4513335
950	898.3265722
951	898.2262916
952	898.0673977
953	897.9651487
954	897.7939651
955	897.6026747
956	897.4764315
957	897.3826507
958	897.2390496
959	897.0984685
960	896.8415136
961	896.6872285
962	896.4761651
963	896.3732878
964	896.3236562
965	896.2284789
966	896.0981532
967	895.9666374
968	895.8185112
969	895.5436802
970	895.4178838
971	895.2705133
972	895.1633421
973	895.0199873
974	894.882411
975	894.7866777
976	894.7211317
977	894.6160688
978	894.4550988
979	894.1905262
980	894.0887062
981	894.0142492
982	893.8584279
983	893.799519
984	893.7392413
985	893.6478302
986	893.5315234
987	893.3306171
988	893.1617527
989	893.0718371
990	892.9807011
991	892.8860088
992	892.8052494
993	892.6770477
994	892.5888266
995	892.4770264
996	892.3264237
997	892.203024
998	892.0381816
999	891.7975047
